season,source,source_label,source_url,published_at,target_week,safe_after,team,rating,ratings_sha256
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,SHSU,-18.4,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,SMU,7.2,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,So. Miss,-13.9,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Stanford,-10.3,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Syracuse,-0.9,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,TCU,8.4,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Temple,-17.5,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Tennessee,18.0,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Texas,21.8,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Texas A&M,14.6,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Texas St.,-5.0,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Texas Tech,7.1,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Toledo,4.3,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Troy,6.0,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
