season,display_team,model_team,classification,source,source_url,notes
2023,Texas State,Texas St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Texas Tech,Texas Tech,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Toledo,Toledo,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Troy,Troy,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Tulane,Tulane,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Tulsa,Tulsa,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,UAB,UAB,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,UCF,UCF,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,UCLA,UCLA,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,UConn,UConn,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,UL Monroe,ULM,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,UNLV,UNLV,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,USC,USC,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,UTEP,UTEP,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,UTSA,UTSA,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Utah,Utah,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Utah State,Utah St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Vanderbilt,Vanderbilt,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Virginia,Virginia,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Virginia Tech,Va. Tech,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Wake Forest,Wake Forest,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Washington,Washington,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Washington State,Wash. St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,West Virginia,W. Virginia,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Western Kentucky,WKU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Western Michigan,WMU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Wisconsin,Wisconsin,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Wyoming,Wyoming,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
